n,setor,subsecao,afirmacao,score,interview,ts,dim,dim_nome,maturity,confidence,termos,paraphrase,decisao,ancora_substituta,nota,orfa
53,Academia,"3.3.1. Política Climática: incorporação, riscos e desafios","Desafios Estruturais: Os principais desafios são a falta de uma cultura de planejamento preventivo, a desconexão entre ciência e política e a carência de fiscalização (ex: falta de coleta seletiva em grandes condomínios e pontos de coleta de lixo eletrônico desorganizados).",0.105,ENT-006,00:11:11,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,politica|pontos,"Risco de alagamento confirmado, e imediatamente associado a uma causa de política pública municipal: a substituição de canteiro gramado por pavimento na implantação de ciclovia. Não é o clima agindo sobre a cidade, é a obra recente ampliando a exposição.",,,,
53,Academia,"3.3.1. Política Climática: incorporação, riscos e desafios","Desafios Estruturais: Os principais desafios são a falta de uma cultura de planejamento preventivo, a desconexão entre ciência e política e a carência de fiscalização (ex: falta de coleta seletiva em grandes condomínios e pontos de coleta de lixo eletrônico desorganizados).",0.105,ENT-006,00:17:31,2.3.1,Mobilização de receitas próprias para clima,regulamentado,alta,coleta|lixo,"Quarta menção espontânea ao IPTU Verde, agora da academia e com detalhamento dos critérios técnicos premiados. O instrumento é reconhecido transversalmente por todos os setores entrevistados — e é o único que ocupa esse lugar no corpus.",,,,
54,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Necessidade de Novo Modelo de Contratação: Os acadêmicos criticam o modelo atual de ""prestação de serviços"" ou consultoria paga. Sugerem que a prefeitura adote editais de licitação públicos (similares aos da FAPESP), com metas, prazos e produtos definidos. Isso permitiria à universidade entregar resultados específicos, garantindo que o recurso público tenha retorno mensurável.",0.212,ENT-020,00:26:28,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,licitacao|metas|modelo|prazos|prefeitura|produtos|resultados,"PROPOSTA OPERACIONAL COMPLETA. Edital municipal de pesquisa aplicada com metas, prazos, produtos e cláusula de devolução, operado pelo instituto de planejamento, no modelo das fundações estaduais de amparo. Resolve simultaneamente a lacuna de parceria científica, a competição entre instituições e a ausência de produto — e converge com o papel de «cérebro» que ENT-015 atribui ao mesmo instituto.",,,,
54,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Necessidade de Novo Modelo de Contratação: Os acadêmicos criticam o modelo atual de ""prestação de serviços"" ou consultoria paga. Sugerem que a prefeitura adote editais de licitação públicos (similares aos da FAPESP), com metas, prazos e produtos definidos. Isso permitiria à universidade entregar resultados específicos, garantindo que o recurso público tenha retorno mensurável.",0.061,ENT-006,00:19:57,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,prefeitura|publico,"OPORTUNIDADE. Usar o mercado imobiliário como canal de difusão do IPTU Verde, alinhando o interesse comercial do corretor ao do instrumento. Custo público próximo de zero e resposta direta à lacuna de alcance informacional registrada em ENT-004.",,,,
54,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Necessidade de Novo Modelo de Contratação: Os acadêmicos criticam o modelo atual de ""prestação de serviços"" ou consultoria paga. Sugerem que a prefeitura adote editais de licitação públicos (similares aos da FAPESP), com metas, prazos e produtos definidos. Isso permitiria à universidade entregar resultados específicos, garantindo que o recurso público tenha retorno mensurável.",0.061,ENT-006,00:21:09,3.1.1,Sistema municipal de dados climáticos e territoriais,inexistente,alta,prefeitura|publico,"DIVERGÊNCIA VERIFICADA EM CAMPO. A informação publicada pelo município sobre pontos de destinação de resíduo eletrônico não corresponde à realidade, constatado por tentativa direta da participante. O dado público existe e está errado — o que é pior que ausência de dado para qualquer decisão que dele dependa.",,,,
55,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Potencial de Mecanismos como o IPTU Verde: Embora o IPTU Verde seja reconhecido como uma ferramenta positiva, sua divulgação é considerada insuficiente, especialmente para novos moradores. Propõe-se a criação de parcerias com o mercado imobiliário para ampliar seu alcance. A crítica principal é a de que o poder público não explora plenamente o potencial de incentivos fiscais para alavancar a sustentabilidade e a pesquisa aplicada.",0.206,ENT-006,00:19:57,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,alcance|divulgacao|imobiliario|iptu|mercado|publico|verde,"OPORTUNIDADE. Usar o mercado imobiliário como canal de difusão do IPTU Verde, alinhando o interesse comercial do corretor ao do instrumento. Custo público próximo de zero e resposta direta à lacuna de alcance informacional registrada em ENT-004.",,,,
55,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Potencial de Mecanismos como o IPTU Verde: Embora o IPTU Verde seja reconhecido como uma ferramenta positiva, sua divulgação é considerada insuficiente, especialmente para novos moradores. Propõe-se a criação de parcerias com o mercado imobiliário para ampliar seu alcance. A crítica principal é a de que o poder público não explora plenamente o potencial de incentivos fiscais para alavancar a sustentabilidade e a pesquisa aplicada.",0.118,ENT-019,00:11:11,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,incentivos|parcerias|pesquisa|seja,"ACHADO DE INCENTIVO ALINHADO. A exigência institucional de extensão universitária cria demanda por problemas reais, do mesmo modo que a prefeitura demanda base técnica. Os incentivos das duas instituições já apontam na mesma direção e o único elo ausente é o canal — o que torna essa a lacuna mais barata de fechar em todo o diagnóstico.",,,,
55,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Potencial de Mecanismos como o IPTU Verde: Embora o IPTU Verde seja reconhecido como uma ferramenta positiva, sua divulgação é considerada insuficiente, especialmente para novos moradores. Propõe-se a criação de parcerias com o mercado imobiliário para ampliar seu alcance. A crítica principal é a de que o poder público não explora plenamente o potencial de incentivos fiscais para alavancar a sustentabilidade e a pesquisa aplicada.",0.088,ENT-006,00:17:31,2.3.1,Mobilização de receitas próprias para clima,regulamentado,alta,iptu|reconhecido|verde,"Quarta menção espontânea ao IPTU Verde, agora da academia e com detalhamento dos critérios técnicos premiados. O instrumento é reconhecido transversalmente por todos os setores entrevistados — e é o único que ocupa esse lugar no corpus.",,,,
56,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Priorização de Recursos e Interesses Econômicos: Há a percepção de que a agenda ambiental (e, por extensão, a climática) é submetida a interesses econômicos, sendo secundária na alocação de recursos. A agenda climática fica atrás da agenda ambiental, que por sua vez cede espaço a interesses do mercado imobiliário, que pressiona por alterações nas leis de zoneamento.",0.13,ENT-006,00:19:57,2.4.1,Mobilização de investimento privado em infraestrutura climática,inexistente,alta,climatica|imobiliario|mercado,"OPORTUNIDADE. Usar o mercado imobiliário como canal de difusão do IPTU Verde, alinhando o interesse comercial do corretor ao do instrumento. Custo público próximo de zero e resposta direta à lacuna de alcance informacional registrada em ENT-004.",,,,
56,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Priorização de Recursos e Interesses Econômicos: Há a percepção de que a agenda ambiental (e, por extensão, a climática) é submetida a interesses econômicos, sendo secundária na alocação de recursos. A agenda climática fica atrás da agenda ambiental, que por sua vez cede espaço a interesses do mercado imobiliário, que pressiona por alterações nas leis de zoneamento.",0.13,ENT-006,00:40:06,1.1.8,Revisão periódica da política climática,regulamentado,media,climatica|imobiliario|mercado,"DIVERGÊNCIA PROSPECTIVA. Instrumento urbanístico que protege área verde central está sob pressão do mercado imobiliário, com expectativa declarada de revogação. A revisão da política pode se dar em sentido contrário ao da adaptação — risco de retrocesso regulatório que nenhum instrumento municipal monitora.",,,,
56,Academia,"3.3.2. Finanças: orçamento, financiamento e captação de recursos","Priorização de Recursos e Interesses Econômicos: Há a percepção de que a agenda ambiental (e, por extensão, a climática) é submetida a interesses econômicos, sendo secundária na alocação de recursos. A agenda climática fica atrás da agenda ambiental, que por sua vez cede espaço a interesses do mercado imobiliário, que pressiona por alterações nas leis de zoneamento.",0.13,ENT-020,00:06:45,1.1.6,Alinhamento da adaptação com políticas nacionais/estaduais,inexistente,alta,agenda|alteracoes|climatica,"ACHADO DEFINITIVO. O plano diretor vigente, aprovado há menos de dois anos, foi calibrado com série climática antiga e não incorpora a variável climática. É a evidência mais forte do corpus sobre desalinhamento do instrumento urbanístico central com a agenda climática — e explica, na origem, a maladaptação documentada em ENT-006, a pressão sobre áreas verdes de ENT-007 e o subdimensionamento da drenagem apontado por todos.",,,,
57,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Inexistência de Dados Públicos e Sistematizados: Os acadêmicos afirmam desconhecer a existência de dados sistematizados e públicos sobre a questão climática em Maringá. O município possui apenas dados genéricos (ex: IBGE) e carece de monitoramento meteorológico (precipitação, ventos) e informações detalhadas sobre vegetação urbana para a tomada de decisão.",0.192,ENT-020,00:06:45,1.1.6,Alinhamento da adaptação com políticas nacionais/estaduais,inexistente,alta,climatica|dados|maringa|precipitacao|ventos,"ACHADO DEFINITIVO. O plano diretor vigente, aprovado há menos de dois anos, foi calibrado com série climática antiga e não incorpora a variável climática. É a evidência mais forte do corpus sobre desalinhamento do instrumento urbanístico central com a agenda climática — e explica, na origem, a maladaptação documentada em ENT-006, a pressão sobre áreas verdes de ENT-007 e o subdimensionamento da drenagem apontado por todos.",,,,
57,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Inexistência de Dados Públicos e Sistematizados: Os acadêmicos afirmam desconhecer a existência de dados sistematizados e públicos sobre a questão climática em Maringá. O município possui apenas dados genéricos (ex: IBGE) e carece de monitoramento meteorológico (precipitação, ventos) e informações detalhadas sobre vegetação urbana para a tomada de decisão.",0.192,ENT-020,00:11:10,3.1.1,Sistema municipal de dados climáticos e territoriais,inexistente,alta,dados|monitoramento|municipio|tomada|ventos,ACHADO CRÍTICO. Existe estação meteorológica de referência na universidade local e seus dados não alimentam o planejamento municipal. Converge com ENT-003 (dados meteorológicos primários de duas estações circulando sem instrumento formal) e qualifica a rede de vinte estações em contratação (ENT-015): o município está comprando capacidade de monitoramento sem antes ter incorporado a que já existe na cidade. Dimensão «Muito alta».,,,,
57,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Inexistência de Dados Públicos e Sistematizados: Os acadêmicos afirmam desconhecer a existência de dados sistematizados e públicos sobre a questão climática em Maringá. O município possui apenas dados genéricos (ex: IBGE) e carece de monitoramento meteorológico (precipitação, ventos) e informações detalhadas sobre vegetação urbana para a tomada de decisão.",0.154,ENT-019,00:09:17,3.1.1,Sistema municipal de dados climáticos e territoriais,inexistente,alta,climatica|dados|questao|sistematizados,"LACUNA DE PUBLICIDADE. Pesquisador vinculado à universidade pública local desconhece qualquer base climática municipal sistematizada e pública. Converge com ENT-004, ENT-009, ENT-013 e ENT-014 — e a ressalva «talvez existam» é ela mesma parte do achado: o dado, quando existe, não é conhecido nem por quem trabalharia com ele. Dimensão «Muito alta».",,,,
58,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Desconexão Academia-Prefeitura: Há uma forte percepção de que o vasto conhecimento produzido na universidade (sobre ilhas de calor, fundos de vale, impacto da verticalização) não é acessado ou utilizado pela prefeitura. Apesar de muitos técnicos municipais terem formação nas universidades locais, falta um diálogo efetivo e sistematizado. A metáfora da ""Avenida [participante] como barreira simbólica"" ilustra essa desconexão.",0.147,ENT-020,00:22:28,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,academia|conhecimento|prefeitura|universidade|universidades,"Quarta confirmação da lacuna de parceria científica (com ENT-006, ENT-012 e ENT-019). O acesso ao conhecimento acadêmico depende de relação pessoal com dirigentes — mesmo padrão de personalização que ENT-003 registra na coordenação horizontal e ENT-015 na titularidade da agenda. Dimensão «Muito alta».",,,,
58,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Desconexão Academia-Prefeitura: Há uma forte percepção de que o vasto conhecimento produzido na universidade (sobre ilhas de calor, fundos de vale, impacto da verticalização) não é acessado ou utilizado pela prefeitura. Apesar de muitos técnicos municipais terem formação nas universidades locais, falta um diálogo efetivo e sistematizado. A metáfora da ""Avenida [participante] como barreira simbólica"" ilustra essa desconexão.",0.118,ENT-006,00:27:41,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,academia|desconexao|universidade|universidades,"LACUNA CENTRAL. A universidade privada não tem canal com o município. Confirma, de outro ponto do sistema, o achado de ENT-004: a parceria científica registrada em ENT-003 é um caso isolado no órgão ambiental, não uma prática municipal. Dimensão «Muito alta».",,,,
58,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Desconexão Academia-Prefeitura: Há uma forte percepção de que o vasto conhecimento produzido na universidade (sobre ilhas de calor, fundos de vale, impacto da verticalização) não é acessado ou utilizado pela prefeitura. Apesar de muitos técnicos municipais terem formação nas universidades locais, falta um diálogo efetivo e sistematizado. A metáfora da ""Avenida [participante] como barreira simbólica"" ilustra essa desconexão.",0.118,ENT-019,00:11:11,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,dialogo|prefeitura|universidade|universidades,"ACHADO DE INCENTIVO ALINHADO. A exigência institucional de extensão universitária cria demanda por problemas reais, do mesmo modo que a prefeitura demanda base técnica. Os incentivos das duas instituições já apontam na mesma direção e o único elo ausente é o canal — o que torna essa a lacuna mais barata de fechar em todo o diagnóstico.",,,,
59,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Dados Desatualizados no Planejamento: O Plano Diretor de 2024-2025 é citado como um exemplo crítico, pois utiliza dados climatológicos de décadas passadas, ignorando as mudanças climáticas atuais. Isso evidencia uma falha grave no planejamento de longo prazo.",0.524,ENT-020,00:06:45,1.1.6,Alinhamento da adaptação com políticas nacionais/estaduais,inexistente,alta,climaticas|climatologicos|dados|decadas|diretor|evidencia|mudancas|passadas,"ACHADO DEFINITIVO. O plano diretor vigente, aprovado há menos de dois anos, foi calibrado com série climática antiga e não incorpora a variável climática. É a evidência mais forte do corpus sobre desalinhamento do instrumento urbanístico central com a agenda climática — e explica, na origem, a maladaptação documentada em ENT-006, a pressão sobre áreas verdes de ENT-007 e o subdimensionamento da drenagem apontado por todos.",,,,
59,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Dados Desatualizados no Planejamento: O Plano Diretor de 2024-2025 é citado como um exemplo crítico, pois utiliza dados climatológicos de décadas passadas, ignorando as mudanças climáticas atuais. Isso evidencia uma falha grave no planejamento de longo prazo.",0.143,ENT-006,00:17:31,1.1.4,Estratégia de adaptação com metas claras,regulamentado,alta,climaticas|mudancas|plano,ACHADO POSITIVO. Existe instrumento setorial revisado com critério explícito de adaptação climática — a seleção de espécies arbóreas por aptidão ao clima futuro. É a única política municipal citada no corpus que incorporou critério climático sem se chamar de política climática.,,,,
59,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Dados Desatualizados no Planejamento: O Plano Diretor de 2024-2025 é citado como um exemplo crítico, pois utiliza dados climatológicos de décadas passadas, ignorando as mudanças climáticas atuais. Isso evidencia uma falha grave no planejamento de longo prazo.",0.143,ENT-006,00:38:02,3.2.3,"Dados de risco, vulnerabilidade e exposição",em_elaboracao,alta,climaticas|dados|mudancas,Há pesquisa doutoral iniciando sobre gradiente térmico metropolitano por geoprocessamento — exatamente o tipo de dado de exposição que o município não produz. A entrevistadora registra que a informação era desconhecida da equipe: o dado de risco está sendo gerado sem que a prefeitura saiba.,,,,
60,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Estudos Acadêmicos como Subsídio Perdido: Existem estudos acadêmicos (ex: sobre o potencial bioclimático dos fundos de vale, variações de temperatura na transição Maringá-Sarandi e retrofit sustentável do IBC) que poderiam subsidiar a gestão, mas são frequentemente ignorados ou não chegam ao poder público.",0.208,ENT-020,00:16:53,2.1.5,Estratégia financeira para adaptação e resiliência,inexistente,alta,bioclimatico|fundos|potencial|publico|vale,"PRIORIDADE DE INVESTIMENTO COM VANTAGEM DECISIVA. O principal ativo climático da cidade já é domínio público: não há custo de desapropriação nem litígio fundiário. Converge com ENT-015, ENT-016, ENT-017-ENT-018 e ENT-019 — seis sessões apontam o fundo de vale como prioridade, e esta acrescenta a razão que o torna o investimento mais viável do conjunto.",,,,
60,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Estudos Acadêmicos como Subsídio Perdido: Existem estudos acadêmicos (ex: sobre o potencial bioclimático dos fundos de vale, variações de temperatura na transição Maringá-Sarandi e retrofit sustentável do IBC) que poderiam subsidiar a gestão, mas são frequentemente ignorados ou não chegam ao poder público.",0.167,ENT-019,00:07:35,2.1.5,Estratégia financeira para adaptação e resiliência,inexistente,alta,fundos|poderiam|publico|vale,"Prioridade convergente: qualificação dos fundos de vale como infraestrutura verde de uso público e função climática. Converge com o parque-esponja de ENT-017-ENT-018, a passarela suspensa de ENT-015, a trilha de ENT-016 e o uso público de ENT-016 — cinco sessões de quatro setores apontando o mesmo território como prioridade de investimento.",,,,
60,Academia,"3.3.3. Dados, Monitoramento e Planejamento","Estudos Acadêmicos como Subsídio Perdido: Existem estudos acadêmicos (ex: sobre o potencial bioclimático dos fundos de vale, variações de temperatura na transição Maringá-Sarandi e retrofit sustentável do IBC) que poderiam subsidiar a gestão, mas são frequentemente ignorados ou não chegam ao poder público.",0.125,ENT-006,00:15:00,1.1.5,Avaliação de riscos e vulnerabilidades climáticas,em_implementacao,alta,maringa|publico|temperatura,"Segundo caso de perda de cobertura vegetal por obra recente, no espaço público mais simbólico da cidade, com efeito declarado sobre conforto térmico e sobre o uso do lugar. Reforça que o vetor mais ativo de agravamento do risco térmico em Maringá é a própria obra pública.",,,,
61,Academia,3.3.4. Governança e Coordenação,"Gestão Reativa e Improvisada: A atuação da prefeitura é classificada como improvisada e reativa, focada em ações paliativas em vez de um planejamento preventivo e estruturado. A gestão ""reage aos problemas sem planejamento preventivo"", o que é evidenciado pela falta de aplicação de planos existentes, como o plano de manejo para arborização.",0.238,ENT-019,00:11:11,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,acoes|aplicacao|planejamento|prefeitura|problemas,"ACHADO DE INCENTIVO ALINHADO. A exigência institucional de extensão universitária cria demanda por problemas reais, do mesmo modo que a prefeitura demanda base técnica. Os incentivos das duas instituições já apontam na mesma direção e o único elo ausente é o canal — o que torna essa a lacuna mais barata de fechar em todo o diagnóstico.",,,,
61,Academia,3.3.4. Governança e Coordenação,"Gestão Reativa e Improvisada: A atuação da prefeitura é classificada como improvisada e reativa, focada em ações paliativas em vez de um planejamento preventivo e estruturado. A gestão ""reage aos problemas sem planejamento preventivo"", o que é evidenciado pela falta de aplicação de planos existentes, como o plano de manejo para arborização.",0.19,ENT-019,00:06:04,1.2.2,Capacidade institucional para executar ações climáticas,inexistente,alta,acoes|arborizacao|atuacao|prefeitura,"LACUNA DE ESTRUTURA, NOMEADA COM PRECISÃO. Não existe unidade municipal dedicada a parques e jardins — a cidade cuja identidade e cujo maior risco são a arborização não tem órgão para geri-la. É a explicação estrutural da falha de reposição relatada em ENT-006, ENT-007, ENT-009 e ENT-014.",,,,
61,Academia,3.3.4. Governança e Coordenação,"Gestão Reativa e Improvisada: A atuação da prefeitura é classificada como improvisada e reativa, focada em ações paliativas em vez de um planejamento preventivo e estruturado. A gestão ""reage aos problemas sem planejamento preventivo"", o que é evidenciado pela falta de aplicação de planos existentes, como o plano de manejo para arborização.",0.19,ENT-020,00:11:10,1.1.7,Monitoramento e avaliação da adaptação,inexistente,alta,arborizacao|gestao|manejo|plano,"SEGUNDO CASO DE PLANO NÃO IMPLEMENTADO, COM SÉRIE DE QUINZE ANOS. Junto ao plano de manejo da arborização de ENT-019 e ao plano de manejo do parque citado adiante, compõe o padrão que ENT-007 chama de «plano de gaveta»: Maringá produz instrumento técnico de qualidade e não o executa nem o monitora. O risco para o plano climático em elaboração é explícito.",,,,
62,Academia,3.3.4. Governança e Coordenação,"Capacidade Operacional Insuficiente: Há um consenso de que a prefeitura não possui a capacidade operacional necessária. Isso se manifesta na ausência de um departamento de parques e jardins atuante, dificuldades na poda e reposição de árvores, falhas na limpeza de bueiros e a não implementação dos fundos de vale como espaços públicos verdes.",0.231,ENT-019,00:06:04,1.2.2,Capacidade institucional para executar ações climáticas,inexistente,alta,arvores|capacidade|jardins|parques|prefeitura|reposicao,"LACUNA DE ESTRUTURA, NOMEADA COM PRECISÃO. Não existe unidade municipal dedicada a parques e jardins — a cidade cuja identidade e cujo maior risco são a arborização não tem órgão para geri-la. É a explicação estrutural da falha de reposição relatada em ENT-006, ENT-007, ENT-009 e ENT-014.",,,,
62,Academia,3.3.4. Governança e Coordenação,"Capacidade Operacional Insuficiente: Há um consenso de que a prefeitura não possui a capacidade operacional necessária. Isso se manifesta na ausência de um departamento de parques e jardins atuante, dificuldades na poda e reposição de árvores, falhas na limpeza de bueiros e a não implementação dos fundos de vale como espaços públicos verdes.",0.192,ENT-019,00:07:35,2.1.5,Estratégia financeira para adaptação e resiliência,inexistente,alta,espacos|fundos|publicos|vale|verdes,"Prioridade convergente: qualificação dos fundos de vale como infraestrutura verde de uso público e função climática. Converge com o parque-esponja de ENT-017-ENT-018, a passarela suspensa de ENT-015, a trilha de ENT-016 e o uso público de ENT-016 — cinco sessões de quatro setores apontando o mesmo território como prioridade de investimento.",,,,
62,Academia,3.3.4. Governança e Coordenação,"Capacidade Operacional Insuficiente: Há um consenso de que a prefeitura não possui a capacidade operacional necessária. Isso se manifesta na ausência de um departamento de parques e jardins atuante, dificuldades na poda e reposição de árvores, falhas na limpeza de bueiros e a não implementação dos fundos de vale como espaços públicos verdes.",0.154,ENT-020,00:11:10,3.2.2,"Qualidade, atualização e acessibilidade dos dados climáticos",inexistente,alta,arvores|ausencia|fundos|vale,"DISTINÇÃO DECISIVA. O município tem indicador agregado e não tem dado de gestão. Reformula com precisão a lacuna «Muito alta» de qualidade e acessibilidade dos dados: o problema não é a ausência de número, é a ausência de resolução espacial suficiente para decidir onde intervir — e os 85 km de fundo de vale, o principal ativo ambiental da cidade, estão sem diagnóstico de condição.",,,,
63,Academia,3.3.4. Governança e Coordenação,"Fragmentação Institucional e Política: A relação entre academia e prefeitura é descrita como fragmentada, frequentemente influenciada por questões políticas e partidárias. Isso cria uma barreira para a colaboração, com secretários e dirigentes alinhados a interesses institucionais específicos, dificultando uma interlocução técnica e contínua.",0.192,ENT-019,00:11:11,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,cria|institucional|prefeitura|questoes|tecnica,"ACHADO DE INCENTIVO ALINHADO. A exigência institucional de extensão universitária cria demanda por problemas reais, do mesmo modo que a prefeitura demanda base técnica. Os incentivos das duas instituições já apontam na mesma direção e o único elo ausente é o canal — o que torna essa a lacuna mais barata de fechar em todo o diagnóstico.",,,,
63,Academia,3.3.4. Governança e Coordenação,"Fragmentação Institucional e Política: A relação entre academia e prefeitura é descrita como fragmentada, frequentemente influenciada por questões políticas e partidárias. Isso cria uma barreira para a colaboração, com secretários e dirigentes alinhados a interesses institucionais específicos, dificultando uma interlocução técnica e contínua.",0.192,ENT-019,00:12:47,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,barreira|partidarias|politica|politicas|questoes,"ACHADO SOBRE A CAUSA DA LACUNA. A resistência é atribuída a uma leitura interna da universidade que confunde política pública com política de governo. Identifica um obstáculo cultural, e não de instrumento — o que muda a recomendação: antes de propor convênio, é preciso desfazer essa distinção.",,,,
63,Academia,3.3.4. Governança e Coordenação,"Fragmentação Institucional e Política: A relação entre academia e prefeitura é descrita como fragmentada, frequentemente influenciada por questões políticas e partidárias. Isso cria uma barreira para a colaboração, com secretários e dirigentes alinhados a interesses institucionais específicos, dificultando uma interlocução técnica e contínua.",0.192,ENT-020,00:22:28,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,academia|dirigentes|prefeitura|relacao|secretarios,"Quarta confirmação da lacuna de parceria científica (com ENT-006, ENT-012 e ENT-019). O acesso ao conhecimento acadêmico depende de relação pessoal com dirigentes — mesmo padrão de personalização que ENT-003 registra na coordenação horizontal e ENT-015 na titularidade da agenda. Dimensão «Muito alta».",,,,
64,Academia,3.3.4. Governança e Coordenação,"Carência de Colaboração Regional: Não existem parcerias estruturadas entre Maringá e municípios vizinhos voltadas especificamente para a agenda climática. A cooperação regional, quando existe, limita-se a áreas como saúde. A ""Região Metropolitana"" é considerada uma denominação sem efetividade política ou estratégica, carecendo de um consórcio ou órgão suprapartidário para o planejamento territorial integrado.",0.355,ENT-006,00:38:02,4.1.4,Coordenação regional/metropolitana com municípios vizinhos,inexistente,alta,agenda|climatica|consorcio|cooperacao|metropolitana|municipios|regiao|regional,"LACUNA. Existe arranjo de cooperação intermunicipal em funcionamento na região, com pauta de saúde, e ele não foi acionado para clima. A institucionalidade regional está montada — falta apenas incluir a agenda climática nela, o que é mais barato que criar consórcio novo.",,,,
64,Academia,3.3.4. Governança e Coordenação,"Carência de Colaboração Regional: Não existem parcerias estruturadas entre Maringá e municípios vizinhos voltadas especificamente para a agenda climática. A cooperação regional, quando existe, limita-se a áreas como saúde. A ""Região Metropolitana"" é considerada uma denominação sem efetividade política ou estratégica, carecendo de um consórcio ou órgão suprapartidário para o planejamento territorial integrado.",0.355,ENT-019,00:18:33,4.1.4,Coordenação regional/metropolitana com municípios vizinhos,inexistente,alta,consorcio|cooperacao|denominacao|metropolitana|municipios|orgao|politica|regiao,PROPOSTA DE ARRANJO REGIONAL. Consórcio de prefeitos com órgão técnico suprapartidário. Sétima sessão a apontar a lacuna de cooperação regional e a única a propor a forma institucional — que converge com a associação de municípios já existente e sem pauta ambiental descrita em ENT-007.,,,,
64,Academia,3.3.4. Governança e Coordenação,"Carência de Colaboração Regional: Não existem parcerias estruturadas entre Maringá e municípios vizinhos voltadas especificamente para a agenda climática. A cooperação regional, quando existe, limita-se a áreas como saúde. A ""Região Metropolitana"" é considerada uma denominação sem efetividade política ou estratégica, carecendo de um consórcio ou órgão suprapartidário para o planejamento territorial integrado.",0.29,ENT-020,00:27:48,4.1.4,Coordenação regional/metropolitana com municípios vizinhos,inexistente,alta,areas|cooperacao|metropolitana|municipios|planejamento|politica|regional|saude,"Oitava confirmação da lacuna regional, e segunda a identificar a mesma associação de municípios como estrutura existente sem pauta ambiental (a primeira é ENT-007). O diagnóstico está fechado: a institucionalidade regional existe, funciona em saúde e não foi acionada para clima.",,,,
65,Academia,3.3.5. Soluções Propostas,"Projetos de Longo Prazo (""Guarda-chuva""): Implementar projetos com um coordenador fixo na universidade, garantindo a continuidade mesmo com a rotatividade de alunos.",0.571,ENT-006,00:35:30,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,alunos|chuva|continuidade|coordenador|fixo|guarda|projetos|universidade,"Desenho concreto para dar continuidade à parceria acadêmica: convênio guarda-chuva permanente com coordenação estável, sobre o qual rodam alunos de graduação e pós. Responde diretamente ao risco de descontinuidade que qualifica a divergência de ENT-003 (fluxo científico sem instrumento formal).",,,,
65,Academia,3.3.5. Soluções Propostas,"Projetos de Longo Prazo (""Guarda-chuva""): Implementar projetos com um coordenador fixo na universidade, garantindo a continuidade mesmo com a rotatividade de alunos.",0.214,ENT-006,00:34:09,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,mesmo|projetos|universidade,"OPORTUNIDADE ESTRUTURANTE. Proposta de unidade municipal dedicada a parceria com ensino e pesquisa, com argumento de adequação da solução ao contexto local. Responde simultaneamente à lacuna de parceria científica e à ausência de unidade de estruturação de projetos registrada em ENT-003.",,,,
65,Academia,3.3.5. Soluções Propostas,"Projetos de Longo Prazo (""Guarda-chuva""): Implementar projetos com um coordenador fixo na universidade, garantindo a continuidade mesmo com a rotatividade de alunos.",0.214,ENT-019,00:11:11,3.2.1,Parcerias com universidades e centros de pesquisa,inexistente,alta,implementar|mesmo|universidade,"ACHADO DE INCENTIVO ALINHADO. A exigência institucional de extensão universitária cria demanda por problemas reais, do mesmo modo que a prefeitura demanda base técnica. Os incentivos das duas instituições já apontam na mesma direção e o único elo ausente é o canal — o que torna essa a lacuna mais barata de fechar em todo o diagnóstico.",,,,
